,lon,lat,type
0,17.7484586,46.8841216,pharmacy
1,19.028022,47.6446168,pharmacy
2,19.0385594,47.4300911,pharmacy
3,17.4626335,45.9595429,pharmacy
4,17.4710843,45.960618,pharmacy
5,19.0479914,47.5105369,pharmacy
6,19.0547646,47.5072091,pharmacy
7,19.05234,47.506049,pharmacy
8,19.0544781,47.5111164,pharmacy
9,19.0554426,47.5023295,pharmacy
10,18.6817572,46.4744113,pharmacy
11,18.7110436,46.5308924,pharmacy
12,20.7745391,48.0881232,pharmacy
13,17.1522815,47.2589448,pharmacy
14,17.1506438,47.2581793,pharmacy
15,17.153103,47.2558473,pharmacy
16,19.1194539,47.540209,pharmacy
17,18.6581866,46.0814469,pharmacy
18,18.587986,46.5083004,pharmacy
19,18.7191652,46.5951088,pharmacy
20,18.8232441,47.5198008,pharmacy
21,18.8303079,47.5154011,pharmacy
22,19.1173451,47.4231725,pharmacy
23,18.4561125,46.4091513,pharmacy
24,19.1427031,47.4581117,pharmacy
25,18.9635898,47.5456113,pharmacy
26,18.9657434,47.5378889,pharmacy
27,18.9616817,47.5638184,pharmacy
28,20.4763793,46.5849323,pharmacy
29,17.7672199,46.3681972,pharmacy
30,17.7872102,46.3652857,pharmacy
31,18.9930966,47.5237194,pharmacy
32,17.6943404,46.4227364,pharmacy
33,19.1228869,47.541927,pharmacy
34,19.1072581,47.5006984,pharmacy
35,18.7349924,47.7194092,pharmacy
36,18.7282089,47.7291779,pharmacy
37,18.9658348,47.6422368,pharmacy
38,19.10859,47.5004526,pharmacy
39,18.3164789,46.0704041,pharmacy
40,20.1362119,46.2619374,pharmacy
41,18.4461345,47.2023542,pharmacy
42,19.0683329,47.5050458,pharmacy
43,19.076029,47.5068057,pharmacy
44,19.0689462,47.5367728,pharmacy
45,17.4406335,46.8839202,pharmacy
46,19.0960795,47.5190332,pharmacy
47,19.0686549,47.4894496,pharmacy
48,19.0668592,47.4900505,pharmacy
49,19.0720243,47.4813864,pharmacy
50,19.1351182,47.7912792,pharmacy
51,19.132519,47.7819133,pharmacy
52,19.1291173,47.7824281,pharmacy
53,19.045304,47.5368407,pharmacy
54,18.9965564,47.482956,pharmacy
55,18.9117999,47.0556841,pharmacy
56,19.2071709,47.3885455,pharmacy
57,17.7855513,46.3565164,pharmacy
58,17.7880404,46.3561847,pharmacy
59,19.0717251,47.5075049,pharmacy
60,17.9202075,47.6507133,pharmacy
61,19.1855543,47.455819,pharmacy
62,19.214005,47.3826288,pharmacy
63,16.8324139,46.8410183,pharmacy
64,16.8310601,46.835859,pharmacy
65,19.0914987,47.5600568,pharmacy
66,19.0723795,47.5108782,pharmacy
67,21.1780712,47.0199942,pharmacy
68,21.1758242,47.0170297,pharmacy
69,21.6540528,48.1065562,pharmacy
70,19.6948711,46.9063767,pharmacy
71,19.0691358,47.4856923,pharmacy
72,19.0683234,47.482288,pharmacy
73,17.6388355,47.6161016,pharmacy
74,19.0596358,47.6012033,pharmacy
75,21.6042172,47.5556805,pharmacy
76,20.534792,47.9003795,pharmacy
77,20.3753821,47.9031383,pharmacy
78,17.4824831,46.7121861,pharmacy
79,19.1278812,47.429,pharmacy
80,20.3593659,46.5822471,pharmacy
81,19.1531334,47.4793308,pharmacy
82,19.0484261,47.4777083,pharmacy
83,19.051753,47.4808684,pharmacy
84,18.1315485,46.3765508,pharmacy
85,18.1299357,46.3695767,pharmacy
86,18.1456002,46.3841302,pharmacy
87,18.1269927,46.3813853,pharmacy
88,21.111926,47.8756681,pharmacy
89,19.0261004,47.4650567,pharmacy
90,19.1367363,47.4893872,pharmacy
91,19.139209,47.477079,pharmacy
92,19.1734187,47.4504197,pharmacy
93,17.6543421,47.67255,pharmacy
94,17.6496797,47.6711144,pharmacy
95,18.9120469,47.6198549,pharmacy
96,18.9035593,47.6175043,pharmacy
97,19.0620419,47.5059256,pharmacy
98,19.0535173,47.4776739,pharmacy
99,19.0311365,47.4989369,pharmacy
100,19.0367931,47.4951972,pharmacy
101,19.031022,47.496421,pharmacy
102,19.0800386,47.5295507,pharmacy
103,18.8947385,47.2498189,pharmacy
104,19.3606913,47.5916205,pharmacy
105,18.9635294,47.4613628,pharmacy
106,19.2689621,47.493249,pharmacy
107,17.2694853,47.8754812,pharmacy
108,17.2686414,47.8770864,pharmacy
109,18.8296755,47.6359323,pharmacy
110,19.1204677,47.5646528,pharmacy
111,19.3400875,47.4894223,pharmacy
112,19.0612452,47.5212145,pharmacy
113,19.0520367,47.518635,pharmacy
114,18.9141062,47.4325297,pharmacy
115,18.889108,47.4404254,pharmacy
116,18.2568735,46.1861952,pharmacy
117,18.2718,46.195338,pharmacy
118,17.5212799,47.6033111,pharmacy
119,17.6622801,47.6950738,pharmacy
120,20.191131,46.5245356,pharmacy
121,19.0367854,47.5325884,pharmacy
122,19.0730199,47.6769393,pharmacy
123,18.4047766,47.1651703,pharmacy
124,19.1390687,47.5047978,pharmacy
125,18.4251257,47.1934846,pharmacy
126,19.015778,47.4854083,pharmacy
127,19.0131752,47.4933317,pharmacy
128,19.0051368,47.4812692,pharmacy
129,19.0144249,47.52278,pharmacy
130,18.9321156,47.5133442,pharmacy
131,18.9290471,47.5185469,pharmacy
132,18.9879053,46.5333596,pharmacy
133,18.9559334,46.4865664,pharmacy
134,18.9811694,46.5321245,pharmacy
135,18.9836843,46.5243691,pharmacy
136,17.6531316,47.6781544,pharmacy
137,19.4901253,47.6519665,pharmacy
138,19.5833409,46.9277531,pharmacy
139,18.8291331,47.4784239,pharmacy
140,18.3168476,46.4476155,pharmacy
141,20.1476262,46.2525175,pharmacy
142,19.0763637,47.4896873,pharmacy
143,19.073085,47.4924066,pharmacy
144,19.0896798,47.4892033,pharmacy
145,19.1633599,47.5228418,pharmacy
146,19.2559487,47.4788749,pharmacy
147,20.4091145,47.178654,pharmacy
148,19.0827912,47.5294745,pharmacy
149,19.071069,47.4970239,pharmacy
150,19.3511691,47.4436644,pharmacy
151,19.3676745,47.4444851,pharmacy
152,18.6826753,45.9982986,pharmacy
153,19.1149682,47.4698119,pharmacy
154,19.0801603,47.4839942,pharmacy
155,19.0831273,47.4810266,pharmacy
156,19.0883315,47.4791363,pharmacy
157,19.0700415,47.4733689,pharmacy
158,18.4208028,47.2000804,pharmacy
159,18.4141953,47.1908485,pharmacy
160,18.4139316,47.1973426,pharmacy
161,17.2728261,47.8683693,pharmacy
162,17.2764994,47.8573296,pharmacy
163,19.055857,47.4934526,pharmacy
164,17.407695,47.8840351,pharmacy
165,20.1603722,46.273106,pharmacy
166,17.2690119,47.8725141,pharmacy
167,19.1515538,47.5035815,pharmacy
168,19.3328199,47.4593643,pharmacy
169,19.002867,47.4025372,pharmacy
170,19.1373144,47.5030151,pharmacy
171,19.1390685,47.501772,pharmacy
172,18.6589037,45.9965857,pharmacy
173,18.2431981,46.0754047,pharmacy
174,18.0576344,46.8929606,pharmacy
175,19.0487642,47.47567,pharmacy
176,18.5174214,47.4766449,pharmacy
177,18.6363068,47.4926608,pharmacy
178,19.0218864,47.4536485,pharmacy
179,19.7386714,46.4861479,pharmacy
180,19.0556202,47.5144544,pharmacy
181,19.0365249,47.4629695,pharmacy
182,19.5100351,47.5646199,pharmacy
183,20.1459878,46.250727,pharmacy
184,19.0206428,47.4242298,pharmacy
185,19.3234491,47.4424165,pharmacy
186,19.0471694,47.4754388,pharmacy
187,18.628115,47.20654,pharmacy
188,18.606049,47.196094,pharmacy
189,19.0573781,47.5174161,pharmacy
190,20.1445703,46.2551177,pharmacy
191,20.1452402,46.248105,pharmacy
192,19.0522295,47.5994118,pharmacy
193,19.0499447,47.5986575,pharmacy
194,19.0512214,47.598256,pharmacy
195,19.0473644,47.6019456,pharmacy
196,19.0496496,47.5967333,pharmacy
197,17.8784497,46.8488354,pharmacy
198,17.5409274,47.6951165,pharmacy
199,20.1421567,46.2651461,pharmacy
200,18.9186523,47.4329142,pharmacy
201,18.3938818,47.5793522,pharmacy
202,19.4348253,47.1294872,pharmacy
203,21.7635225,48.1304278,pharmacy
204,19.06859,47.5090315,pharmacy
205,19.038994,47.4267844,pharmacy
206,21.097655,46.6807634,pharmacy
207,21.0943743,46.6783784,pharmacy
208,21.0947884,46.6782602,pharmacy
209,19.7362315,46.4943284,pharmacy
210,21.0913863,46.6851926,pharmacy
211,17.0786449,46.9453375,pharmacy
212,19.986689,46.5488486,pharmacy
213,19.6939845,46.9107595,pharmacy
214,19.0471203,47.4685157,pharmacy
215,17.6494764,46.1467542,pharmacy
216,19.1273042,47.4558309,pharmacy
217,19.2934632,47.469858,pharmacy
218,20.6910913,48.1016187,pharmacy
219,20.6843283,48.1053206,pharmacy
220,20.7325891,48.1021241,pharmacy
221,20.7544816,48.1036573,pharmacy
222,20.7815054,48.1031973,pharmacy
223,18.7248344,46.1899082,pharmacy
224,18.7589227,46.0871714,pharmacy
225,18.6811653,45.9982733,pharmacy
226,19.1012488,47.5192585,pharmacy
227,20.3743968,47.9033255,pharmacy
228,19.1261813,47.6418975,pharmacy
229,19.1183828,47.4728561,pharmacy
230,19.1043271,47.5593221,pharmacy
231,17.6267704,46.8287852,pharmacy
232,19.0980937,47.5603809,pharmacy
233,19.08942,47.55678,pharmacy
234,18.0423157,46.8997003,pharmacy
235,18.1573729,47.73598,pharmacy
236,18.1244233,47.7425592,pharmacy
237,18.1175949,47.7438741,pharmacy
238,18.1208136,47.7447541,pharmacy
239,17.1236614,46.5609049,pharmacy
240,19.104002,47.5066184,pharmacy
241,18.7626609,46.2856252,pharmacy
242,18.4156124,47.1862138,pharmacy
243,20.375332,47.9012957,pharmacy
244,20.3812996,47.8899812,pharmacy
245,20.3768668,47.901814,pharmacy
246,20.3791961,47.8918019,pharmacy
247,20.3896335,47.8960879,pharmacy
248,20.3857282,47.8954693,pharmacy
249,19.1206339,47.559229,pharmacy
250,16.5991862,47.6838261,pharmacy
251,19.221464,46.875951,pharmacy
252,19.2236634,46.8765561,pharmacy
253,20.1759939,47.1685124,pharmacy
254,16.5434902,47.3873188,pharmacy
255,20.7560576,47.2153613,pharmacy
256,19.0624612,47.4898181,pharmacy
257,19.09029,47.56289,pharmacy
258,16.591007,47.6829441,pharmacy
259,19.1189737,47.5953595,pharmacy
260,19.0483878,47.5141648,pharmacy
261,17.4643473,45.960699,pharmacy
262,19.0244788,47.5006525,pharmacy
263,20.8561124,48.1031827,pharmacy
264,19.0975947,47.5102914,pharmacy
265,21.4896725,47.4693886,pharmacy
266,18.8151344,47.4671708,pharmacy
267,20.1784073,47.1788224,pharmacy
268,19.0380477,47.5073478,pharmacy
269,18.8220791,47.4751171,pharmacy
270,19.0336565,47.455486,pharmacy
271,19.0402601,47.4556528,pharmacy
272,19.0586371,47.5273115,pharmacy
273,19.0433596,47.4647273,pharmacy
274,17.9640461,47.4732563,pharmacy
275,19.0376548,47.5060211,pharmacy
276,19.0372491,47.5143876,pharmacy
277,19.023809,47.5205659,pharmacy
278,19.0383002,47.4440323,pharmacy
279,19.0459734,47.4721584,pharmacy
280,19.0415799,47.4749413,pharmacy
281,18.9432308,46.9645961,pharmacy
282,19.0230121,47.4907536,pharmacy
283,18.1318465,47.2014266,pharmacy
284,19.129885,47.6480348,pharmacy
285,18.1391597,47.1966118,pharmacy
286,18.2421105,46.0807003,pharmacy
