PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20201001;00AO;00;VSO ZMOK De Bolster;7383BH;VOORST GEM VOORST;285;Voorst;Gelderland;Vso;Protestants-Christelijk;20137;7461,28571428571;169
20201001;00AO;01;VSO ZMOK De Bolster;7322CZ;APELDOORN;200;Apeldoorn;Gelderland;Vso;Protestants-Christelijk;20137;8069,16666666667;6
20201001;00AP;00;Wereldwijs;2716PH;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;2584,57281553398;103
20201001;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;1140,10666666667;150
20201001;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;2089,2602739726;73
20201001;00AW;00;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;5595,02597402597;78
20201001;00AW;02;Bergse Veld Sch SO/IOBK;3055KM;ROTTERDAM;599;Rotterdam;Zuid-Holland;So;Protestants-Christelijk;62077;10145,0833333333;24
20201001;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;1978;Molenlanden;Zuid-Holland;Bo;Openbaar;41638;2294,05494505495;91
20201001;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;654,106666666667;75
20201001;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN;148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;1222,65454545455;110
20201001;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;3010,07272727273;116
